Student,LPIPS,SSIM
112590025.png,0.0,1.0
112590021.png,0.36275148391723633,0.4190806027867812
110590456.png,0.36969953775405884,0.4717713041651468
112590044.png,0.3868013322353363,0.5205863064300711
112590035.png,0.38909539580345154,0.47367838232478343
112590051.png,0.3951069116592407,0.3706977652657279
112590023.png,0.40340328216552734,0.5376122634211291
109810011.png,0.40940824151039124,0.4613280815031467
112590005.png,0.4137820601463318,0.48711383533414315
112590026.png,0.4191427528858185,0.45895017189163734
112590052.png,0.4281749129295349,0.34341638570100824
112590060.png,0.43471771478652954,0.4924780122553613
112590013.png,0.4367205500602722,0.5365260012058093
112590029.png,0.44061487913131714,0.533283766524397
112590017.png,0.4408755600452423,0.48639099960513804
112590018.png,0.4436773359775543,0.33917935539228355
112590057.png,0.4441003203392029,0.4154479621498122
112590007.png,0.4464784860610962,0.484328119003025
112590020.png,0.447085976600647,0.4293486759582977
112590022.png,0.4489978849887848,0.49446961969104236
112590014.png,0.45208555459976196,0.5254575430026882
111820017.jpg,0.4548375904560089,0.4622098512559116
112590036.png,0.46085023880004883,0.47703118223856494
112590038.png,0.4618455767631531,0.48983653078546613
112590031.png,0.46626847982406616,0.3171393768441384
112590004.png,0.4670040011405945,0.4976109731471861
112590041.png,0.4709734618663788,0.4820246040479112
112590009.png,0.4790339171886444,0.4304248663867107
112ab0053.png,0.4822213649749756,0.4929062044838897
112590053.png,0.4826643168926239,0.32326483836870407
112590024.png,0.5050284266471863,0.3002034000977861
111332012.png,0.5064058303833008,0.4300452395062164
112590012.png,0.5089043974876404,0.5217212095010824
112590033.png,0.5151259899139404,0.46958666529921
112590003.png,0.5243555307388306,0.4305757511062985
110820009.png,0.5377501249313354,0.33117994462443273
113378043.png,0.5508373975753784,0.4263445268022111
112590030.png,0.5722004771232605,0.4346488307910485
110590041.png,0.5882452726364136,0.4459617878158842
